template,type,kr_url
gx-work,video,https://kr.sidiz.com/cdn/shop/videos/c/vp/da745b07c0d147b1aed86a9fbe1e2a84/da745b07c0d147b1aed86a9fbe1e2a84.HD-1080p-3.3Mbps-54722576.mp4
ible,image,https://kr.sidiz.com/cdn/shop/files/1_46f8cc6c-9e40-43c6-983f-6ec8d2389ee0.png
ible,image,https://kr.sidiz.com/cdn/shop/files/3_a540ee9a-0840-46c3-a4f5-8714eff30f66.png
ible,image,https://kr.sidiz.com/cdn/shop/files/4_74ebe688-caeb-4f9d-99dc-ecbb22824764.png
ible,image,https://kr.sidiz.com/cdn/shop/files/5_9a36585e-be44-4c38-b9c7-03a270f0c9e0.png
ible,image,https://kr.sidiz.com/cdn/shop/files/BLOCK-EGA-NOTICE.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/IBLE_01-0.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/IBLE_01-1.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/IBLE_01-2.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/IBLE_01-3.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/IBLE_02-0.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/IBLE_02-1.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/IBLE_02-2.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/IBLE_03-0.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/IBLE_03-1.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/IBLE_03-2.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/IBLE_04-1.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/IBLE_04-2.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/IBLE_04.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/IBLE_1_1__01.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/IBLE_1_1__02.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/IBLE_AI__02_de3cd40e-b524-46ca-a375-572afbd60165.png
ible,image,https://kr.sidiz.com/cdn/shop/files/IBLE_AI__04_3166dadc-6c82-4d4c-aa56-b8dd075a46e2.png
ible,image,https://kr.sidiz.com/cdn/shop/files/IBLE_Head.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/IBLE_Head_M-0.jpg
ible,image,https://kr.sidiz.com/cdn/shop/files/IBLE_NOTIC_PC.jpg
ible,image,"https://kr.sidiz.com/cdn/shop/files/IBLE_Option1.jpg,https://kr.sidiz.com/cdn/shop/files/IBLE_Option1-1.jpg"
ible,image,"https://kr.sidiz.com/cdn/shop/files/IBLE_Option2.jpg,https://kr.sidiz.com/cdn/shop/files/IBLE_Option2-1.jpg"
ible,image,"https://kr.sidiz.com/cdn/shop/files/Img1_c42f6985-3b16-4756-92f2-78942ed2fb5a.jpg,https://kr.sidiz.com/cdn/shop/files/Img2_cc749d1c-3fb1-4d1a-9079-f5e828c09183.jpg"
